sample__uid,taxid,name,cn_name,rankcode,reads_accum,rpm,abd,amplicon_reads,dup_accum,cov_length,ref_length,coverage,rank,parent_ratio,labels
MT-11-A01D24370199L-tNGS-C18-20250225,286,Pseudomonas,假单胞菌属,G,1,0.132712733,2.00141E-07,,0,,,,11/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,543,Enterobacteriaceae,肠杆菌科,F,54,7.166487593,1.08076E-05,,1,,,,,100,
MT-11-A01D24370199L-tNGS-C18-20250225,561,Escherichia,埃希菌属,G,7,0.928989132,1.40099E-06,,0,,,,3/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,562,Escherichia coli,大肠埃希菌,S,5,0.663563666,1.00071E-06,,0,,,,1,83.333,
MT-11-A01D24370199L-tNGS-C18-20250225,564,Escherichia fergusonii,弗格森埃希菌,S,1,0.132712733,2.00141E-07,,0,,,,2,16.667,
MT-11-A01D24370199L-tNGS-C18-20250225,338,Xanthomonas,黄单胞菌属,G,8,1.061701866,1.60113E-06,,0,,,,7/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,339,Xanthomonas campestris,野油菜黄单胞菌,S,8,1.061701866,1.60113E-06,,0,,,,1,100,
MT-11-A01D24370199L-tNGS-C18-20250225,374,Bradyrhizobium,慢生根瘤菌属,G,32,4.246807462,6.40452E-06,,6,,,,5/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,280332,Bradyrhizobium jicamae,Bradyrhizobium jicamae,S,2,0.265425466,4.00283E-07,,0,,,,1,100,
MT-11-A01D24370199L-tNGS-C18-20250225,357,Agrobacterium,土壤杆菌属,G,70,9.289891324,1.40099E-05,,7,,,,2/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,358,Agrobacterium tumefaciens,根癌土壤杆菌,S,1,0.132712733,2.00141E-07,,0,,,,1,100,misclassified
MT-11-A01D24370199L-tNGS-C18-20250225,234,Brucella,布鲁氏菌属,G,1,0.132712733,2.00141E-07,,0,,,,11/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,16777802,Brucella nonbrucellosis,非致病布鲁氏菌,G1,1,0.132712733,2.00141E-07,,0,,,,,100,
MT-11-A01D24370199L-tNGS-C18-20250225,419475,Brucella pseudogrignonensis,拟格氏赭杆菌,S,1,0.132712733,2.00141E-07,,0,,,,1,100,
MT-11-A01D24370199L-tNGS-C18-20250225,32008,Burkholderia,伯克霍尔德菌属,G,6,0.796276399,1.20085E-06,,0,,,,8/15,75,
MT-11-A01D24370199L-tNGS-C18-20250225,87882,Burkholderia cepacia complex,洋葱伯克霍尔德菌群,G1,6,0.796276399,1.20085E-06,,0,,,,,100,
MT-11-A01D24370199L-tNGS-C18-20250225,95486,Burkholderia cenocepacia,新洋葱伯克霍尔德菌,S,6,0.796276399,1.20085E-06,,0,,,,1,100,
MT-11-A01D24370199L-tNGS-C18-20250225,93217,Pandoraea,潘多拉菌属,G,2,0.265425466,4.00283E-07,,0,,,,9/15,25,
MT-11-A01D24370199L-tNGS-C18-20250225,93219,Pandoraea norimbergensis,纽伦堡潘多拉菌,S,1,0.132712733,2.00141E-07,,0,,,,1,100,
MT-11-A01D24370199L-tNGS-C18-20250225,196013,Caldimonas,,G,1,0.132712733,2.00141E-07,,0,,,,11/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,1350,Enterococcus,肠球菌属,G,2,0.265425466,4.00283E-07,,0,,,,9/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,1351,Enterococcus faecalis,粪肠球菌,S,1,0.132712733,2.00141E-07,,0,,,,1,50,
MT-11-A01D24370199L-tNGS-C18-20250225,1352,Enterococcus faecium,屎肠球菌,S,1,0.132712733,2.00141E-07,,0,,,,1,50,
MT-11-A01D24370199L-tNGS-C18-20250225,29465,Veillonella,韦荣球菌属,G,1,0.132712733,2.00141E-07,,0,,,,11/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,39777,Veillonella atypica,非典型韦荣球菌,S,1,0.132712733,2.00141E-07,,0,,,,1,100,
MT-11-A01D24370199L-tNGS-C18-20250225,1654,Actinomyces,放线菌属,G,51,6.768349393,1.02072E-05,,3,,,,4/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,1655,Actinomyces naeslundii,内氏放线菌,S,5,0.663563666,1.00071E-06,,0,,,,2,13.889,
MT-11-A01D24370199L-tNGS-C18-20250225,1659,Actinomyces israelii,衣氏放线菌,S,1,0.132712733,2.00141E-07,,0,,,,4,2.778,misclassified
MT-11-A01D24370199L-tNGS-C18-20250225,461393,Actinomyces massiliensis,马赛放线菌,S,5,0.663563666,1.00071E-06,,1,,,,2,13.889,
MT-11-A01D24370199L-tNGS-C18-20250225,544580,Actinomyces oris,口腔放线菌,S,23,3.052392864,4.60325E-06,,2,,,,1,63.889,
MT-11-A01D24370199L-tNGS-C18-20250225,1762,Mycobacteriaceae,分枝杆菌科,F,4977437,660569.2686,0.996190711,,4947303,,,,,100,
MT-11-A01D24370199L-tNGS-C18-20250225,1763,Mycobacterium,分枝杆菌属,G,4977435,660569.0032,0.99619031,,4947303,,,,1/15,100,
MT-11-A01D24370199L-tNGS-C18-20250225,77643,Mycobacterium tuberculosis complex,结核分枝杆菌复合群,G1,1022104,135646.2155,0.204565223,,1007152,,,,,100,
MT-11-A01D24370199L-tNGS-C18-20250225,1773,Mycobacterium tuberculosis,结核分枝杆菌,S,1392,184.7361246,0.000278597,,1009,,,,1,99.429,
MT-11-A01D24370199L-tNGS-C18-20250225,1806,Mycobacterium tuberculosis variant microti,结核分枝杆菌田鼠变种,S1,310,41.14094729,6.20438E-05,,243,,,,,25.535,
MT-11-A01D24370199L-tNGS-C18-20250225,78331,Mycobacterium canettii,卡内蒂分枝杆菌,S,7,0.928989132,1.40099E-06,,2,,,,2,0.5,misclassified
